3M ESPE Single Bond Universal Adhesive[3M Deutschland GmbH],"Single Bond Universal is a single-component, light-curing adhesive which is available in L-Pop blisters for single dosing or in bottles for multiple doses. Depending on the indication, the adhesive is used: - In a “self-etching” procedure to enable the shortest possible treatment time and to minimize post-operative sensitivities. - With selective enamel etching to maximize the adhesion to the tooth enamel and to minimize post-operative sensitivities. - In a “total etching” procedure with a prior phosphoric acid etching step, e.g., if the etching cannot be restricted to the tooth enamel.",Dental,Class B medical device,DE0010178,5/9/2012,Not Applicable,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C406294732-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Single Bond Universal DCA Dual Cure Activator[3M Deutschland GmbH],"Single Bond Universal DCA activates the dual curing mechanism of Single Bond Universal and is mixed with the adhesive whenever dual-cure or self-cure composite filling materials, cements, or core build-up materials are being used.",Dental,Class B medical device,DE0010180,5/9/2012,Not Applicable,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C40629482A-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Stainless Steel Crowns[3M ESPE],3M ESPE Stainless Steel Crowns are prefabricated crowns designed to fill the need for long term provisional coverage of primary and permanent molars.,Dental,Class B medical device,DE0002461,8/12/2005,43202,,"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C3081A21-i05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Vitrebond™ Light Cure Glass Ionomer Liner Base[3M ESPE],"Intended for lining and basing applications under composite, amalgam, ceramic and metal restorations.",Dental,Class B medical device,DE0001336,22/08/2005,Not Applicable,,"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C3062952-i05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Vitrebond™ Plus Light Cure Glass Ionomer Liner/Base[3M ESPE],"Vitrebond Plus Light Cure Glass Ionomer Liner/Base is indicated for lining and basing applications under composite, amalgam, ceramic and metal restorations.",Dental,Class B medical device,DE0007677,27/09/2011,Not Applicable,,"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C404285F13-i11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Z100 Restorative[3M ESPE],Intended for use in both anterior and posterior teeth restorations.,Dental,Class B medical device,DE0001204,29/07/2005,Not Applicable,,"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C306082E-i05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Zirconia Dental Block (3M Essentials)[3M Deutschland GmbH],Zirconia Block Zirconia mill blanks are used for the fabrication of frameworks for all-ceramic restorations.,Dental,Class B medical device,DE0012481,1/3/2013,Not Applicable,,"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Str. 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4074A4313-i13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills[3M ESPE],"3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills is indicated for inlays, onlays and veneer restorations. 3M ESPE™ Lava™ Ultimate CAD/CAM Restorative for Lava™ Mills is not indicated for uses other than those listed.",Dental,Class B medical device,DE0013750,2/9/2013,18/11/2015,,"1.  3M ESPE Dental Products 
       [3M ESPE] 2510 Conway Avenue, St Paul, MN 55144-1000 USA, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4084A212C-i13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M TegadermTM  High Integrity (HI) Alginate Dressing[3M Health Care],"Intended for use on partial and full thickness wounds with moderate to heavy exudates. Tegaderm alginate dressings may be used for pressure ulcers, arterial ulcers, venous ulcers, diabetic ulcers, superficial wounds such as cuts and abrasions, donor sites, post-operative wounds, trauma wounds, and other dermal lesions. They are also intended to help control minor bleeding.",General Hospital,Class C medical device,DE0005292,2/8/2010,Not Applicable,"[Sterile Medical Device], radiation sterilised.","1.  3M Health Care 
       [3M Health Care] 3M Center, St. Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C34C1C41-i10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M TegadermTM High Gelling (HG) Alginate Dressing[3M Health Care],"Intended for use on partial and full thickness wounds with moderate to heavy exudates. Tegaderm alginate dressings may be used for pressure ulcers, arterial ulcers, venous ulcers, diabetic ulcers, superficial wounds such as cuts and abrasions, donor sites, post-operative wounds, trauma wounds, and other dermal lesions. They are also intended to help control minor bleeding.",General Hospital,Class C medical device,DE0005291,2/8/2010,Not Applicable,"[Sterile Medical Device], radiation sterilised.","1.  3M Health Care 
       [3M Health Care] 3M Center, St. Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C34C1C34-i10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Tegaderm™ Absorbent Clear Acrylic Dressing Oval and Square[3M Health Care],"Tegaderm Absorbent Clear Acrylic Dressing is indicated for partial and full thickness dermal ulcers including pressure ulcers, superficial wounds, abrasions, first and second degree burns, and donor sites. It may also be used as a protective dressing on at risk, undamaged skin or skin beginning to show signs of damage from friction or shear.",General & Plastic Surgery,Class C medical device,DE0005322,18/08/2010,17/12/2013,"[Sterile Medical Device], Radiation sterilised.","1.  3M Health Care 
       [3M Health Care] 2510 Conway Ave., St. Paul, MN 55144, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C34C5D4F-i10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Tegaderm™ Absorbent Clear Acrylic Dressing Sacral Design[3M Health Care],"Tegaderm Absorbent Clear Acrylic Dressing for sacral application is indicated for partial and full thickness dermal ulcers including pressure ulcers, superficial wounds, and abrasions. It may also be used as a protective dressing on at-risk skin or skin beginning to show signs of damage from friction or shear.",General & Plastic Surgery,Class C medical device,DE0005323,18/08/2010,17/12/2013,"[Sterile Medical Device], Radiation sterilised","1.  3M Health Care 
       [3M Health Care] 2510 Conway Ave., St. Paul, MN 55144, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C34C5D59-i10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Tegaderm™ Ag Mesh Dressing with Silver[3M Health Care],"Under the supervision of a health care professional, 3M Tegaderm™ Ag Mesh Dressing with Silver may be used as a primary wound dressing over:
•	Abrasions
•	Ulcers
•	Trauma wounds
•	Surgical wounds
•	First and second degree burns
•	Donor sites
The device is not designed, sold or intended for use except as indicated.",General & Plastic Surgery,Class C medical device,DE0008917,22/03/2012,13/11/2017,"[Sterile Medical Device], The device is sterilized by Radiation.","1.  3M Health Care 
       [3M Health Care] 2510 Conway Ave., St. Paul, MN 55144, UNITED STATES","1.  3M APAC RDC PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4051F0244-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™ Cavilon™ Advanced Skin Protectant[3M Health Care],"Cavilon Advanced Skin Protectant forms a film barrier intended to cover and protect intact or damaged skin. It is effective in conditions  where wet and/or dry skin is frequently or continuously exposed to moisture and caustic irritants such as feces, digestive fluids, wound
drainage and urine. The protective film barrier reduces pain associated with Incontinence Associated Dermatitis (IAD) and prevents, stops, and/or reverses the effects of IAD. Cavilon Advanced Skin Protectant also can be used in areas exposed to friction and shear from bedding, clothing, shoes or any other material that would rub against the skin allowing/enabling the skin to heal.",General Hospital,Class B medical device,DE0500847,13/11/2017,Not Applicable,"[Sterile Medical Device], iv) Sterile Medical Device (Applicator)","1.  3M Health Care 
       [3M Health Care] 2510 Conway Ave., St. Paul, MN 55144, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4564D4E25-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M™ Curos™ Disinfecting Caps[3M Health Care],The Curos Disinfecting Cap is intended for use as a disinfecting cleaner prior to I.V. access and to act as a cover between line accesses. The cap will disinfect the connection one (1) minute after application and protect from contamination between accesses for up to seven (7) days if not removed. The cap may be used in the home or healthcare facility.,General Hospital,Class C medical device,DE0018064,26/04/2016,20/05/2020,"[Sterile Medical Device], Sterile Medical Device [Gamma radiation]","1.  3M Health Care 
       [3M Health Care] 2510 Conway Ave., St. Paul, MN 55144, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C40D5C1D1D-i16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
